danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_pop,artist,genres,track_pop,song_name,release_date
0.714,0.472,2,-7.375,1,0.0864,0.013,0.00000451,0.266,0.238,131.121,audio_features,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4,88,Sam Smith,dance_pop pop uk_pop,100,Unholy (feat. Kim Petras),2022-09-22
0.637,0.643,4,-6.571,1,0.0519,0.13,0.0000018,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4,100,Taylor Swift,pop,97,Anti-Hero,2022-10-21
0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,audio_features,4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4,88,David Guetta,big_room dance_pop edm pop pop_dance,97,I'm Good (Blue),2022-08-26
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4,89,Harry Styles,pop,93,As It Was,2022-03-31
0.838,0.525,10,-3.562,1,0.0665,0.345,0.00000192,0.0771,0.884,144.981,audio_features,0QHEIqNKsMoOY5urbzN48u,spotify:track:0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256,4,81,Meghan Trainor,dance_pop hip_pop pop post-teen_pop,92,Made You Look,2022-10-21
0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,4h9wh7iOZ0GGn8QVp4RAOB,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,148486,4,84,OneRepublic,piano_rock pop,95,I Ain't Worried,2022-05-13
0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4,85,Lil Uzi Vert,melodic_rap philly_rap rap trap,89,Just Wanna Rock,2022-10-17
0.95,0.891,2,-2.653,1,0.241,0.0645,0.0000177,0.309,0.912,133.01,audio_features,4C6Uex2ILwJi9sZXRdmqXp,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977,4,85,Nicki Minaj,dance_pop hip_pop pop queens_hip_hop rap,88,Super Freaky Girl,2022-08-12
0.733,0.69,9,-5.529,0,0.0427,0.0635,0.00000118,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4,87,Chris Brown,dance_pop pop r&b,95,Under The Influence,2019-10-04
0.78,0.689,7,-5.668,1,0.141,0.0368,0.00000969,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4,86,Beyoncé,dance_pop pop r&b,93,CUFF IT,2022-07-29
0.776,0.675,7,-8.638,1,0.173,0.0969,0.105,0.216,0.236,139.911,audio_features,4OqVZThHFzi88ir8F5agSs,spotify:track:4OqVZThHFzi88ir8F5agSs,https://api.spotify.com/v1/tracks/4OqVZThHFzi88ir8F5agSs,https://api.spotify.com/v1/audio-analysis/4OqVZThHFzi88ir8F5agSs,160286,4,47,Meric,unknown,51,what about your boyfriend?,2022-09-09
0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4,78,d4vd,bedroom_pop,93,Romantic Homicide,2022-07-20
0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,audio_features,0QBzMgT7NIeoCYy3sJCof1,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071,4,80,Camila Cabello,dance_pop pop post-teen_pop,83,Bam Bam (feat. Ed Sheeran),2022-03-04
0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,audio_features,4k6Uh1HXdhtusDW5y8Gbvy,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/audio-analysis/4k6Uh1HXdhtusDW5y8Gbvy,232067,4,84,Steve Lacy,afrofuturism,88,Bad Habit,2022-07-15
0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,audio_features,35ovElsgyAtQwYPYnZJECg,spotify:track:35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/audio-analysis/35ovElsgyAtQwYPYnZJECg,196520,4,89,Rihanna,barbadian_pop dance_pop pop urban_contemporary,90,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,2022-10-28
0.636,0.53,5,-5.629,0,0.0351,0.392,0,0.113,0.177,117.983,audio_features,1I4wRSEnqLRMTsqKR4bbxh,spotify:track:1I4wRSEnqLRMTsqKR4bbxh,https://api.spotify.com/v1/tracks/1I4wRSEnqLRMTsqKR4bbxh,https://api.spotify.com/v1/audio-analysis/1I4wRSEnqLRMTsqKR4bbxh,213993,4,57,RIELL,unknown,49,Burn Our Bridges Down,2022-10-21
0.736,0.906,0,-7.589,1,0.048,0.164,0.585,0.106,0.698,137.001,audio_features,39JofJHEtg8I4fSyo7Imft,spotify:track:39JofJHEtg8I4fSyo7Imft,https://api.spotify.com/v1/tracks/39JofJHEtg8I4fSyo7Imft,https://api.spotify.com/v1/audio-analysis/39JofJHEtg8I4fSyo7Imft,226627,4,70,Eliza Rose,house,87,B.O.T.A. (Baddest Of Them All) - Edit,2022-08-12
0.749,0.63,4,-6.652,0,0.116,0.0623,0,0.353,0.445,122.03,audio_features,2KLwPaRDOB87XOYAT2fgxh,spotify:track:2KLwPaRDOB87XOYAT2fgxh,https://api.spotify.com/v1/tracks/2KLwPaRDOB87XOYAT2fgxh,https://api.spotify.com/v1/audio-analysis/2KLwPaRDOB87XOYAT2fgxh,242027,4,97,Drake,canadian_hip_hop canadian_pop hip_hop rap toronto_rap,90,Pussy & Millions (feat. Travis Scott),2022-11-04
0.881,0.592,2,-4.898,1,0.0324,0.619,0.0000132,0.0901,0.719,101.058,audio_features,0mBP9X2gPCuapvpZ7TGDk3,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,https://api.spotify.com/v1/tracks/0mBP9X2gPCuapvpZ7TGDk3,https://api.spotify.com/v1/audio-analysis/0mBP9X2gPCuapvpZ7TGDk3,154487,4,83,Charlie Puth,dance_pop pop viral_pop,87,Left and Right (Feat. Jung Kook of BTS),2022-06-24
0.649,0.655,10,-5.534,0,0.0652,0.307,0,0.22,0.793,92.9,audio_features,2WigMwGJysIh9fRnSJvpjn,spotify:track:2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/tracks/2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/audio-analysis/2WigMwGJysIh9fRnSJvpjn,147581,4,69,Oxlade,nigerian_pop,85,KU LO SA - A COLORS SHOW,2022-06-10
0.503,0.582,1,-7.179,0,0.0663,0.18,0,0.131,0.0763,120.333,audio_features,4xZ3gU3bsLUDXkv7xS0phG,spotify:track:4xZ3gU3bsLUDXkv7xS0phG,https://api.spotify.com/v1/tracks/4xZ3gU3bsLUDXkv7xS0phG,https://api.spotify.com/v1/audio-analysis/4xZ3gU3bsLUDXkv7xS0phG,136000,4,62,Besomorph,alt_z slap_house traprun,57,FAKE,2022-09-30
0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822,4,78,Lizzo,escape_room minnesota_hip_hop pop trap_queen,86,About Damn Time,2022-04-14
0.851,0.819,7,-5.173,1,0.212,0.337,0.000153,0.0658,0.903,83.154,audio_features,5unjCay0kUjuej5ebn4nS4,spotify:track:5unjCay0kUjuej5ebn4nS4,https://api.spotify.com/v1/tracks/5unjCay0kUjuej5ebn4nS4,https://api.spotify.com/v1/audio-analysis/5unjCay0kUjuej5ebn4nS4,164041,3,80,Pharrell Williams,hip_hop pop pop_rap,82,Down In Atlanta,2022-11-18
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,79,Rema,nigerian_pop,92,Calm Down (with Selena Gomez),2022-08-25
0.695,0.555,5,-8.5,0,0.0509,0.141,0.826,0.11,0.26,150.024,audio_features,74loibzxXRL875X20kenvk,spotify:track:74loibzxXRL875X20kenvk,https://api.spotify.com/v1/tracks/74loibzxXRL875X20kenvk,https://api.spotify.com/v1/audio-analysis/74loibzxXRL875X20kenvk,83200,4,77,Lil Yachty,atl_hip_hop hip_hop melodic_rap rap trap underground_hip_hop viral_rap,84,Poland,2022-10-11
0.605,0.954,0,-3.448,0,0.212,0.0454,0,0.229,0.438,138.025,audio_features,38Lln6qpL3prfXTi0rIZqs,spotify:track:38Lln6qpL3prfXTi0rIZqs,https://api.spotify.com/v1/tracks/38Lln6qpL3prfXTi0rIZqs,https://api.spotify.com/v1/audio-analysis/38Lln6qpL3prfXTi0rIZqs,135652,4,47,Meric,unknown,41,Feel the Healing,2022-11-11
0.643,0.363,0,-11.738,1,0.0767,0.69,0.0000517,0.115,0.23,139.865,audio_features,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,https://api.spotify.com/v1/tracks/3rWDp9tBPQR9z6U5YyRSK4,https://api.spotify.com/v1/audio-analysis/3rWDp9tBPQR9z6U5YyRSK4,174783,4,100,Taylor Swift,pop,91,Midnight Rain,2022-10-21
