danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_pop,artist,genres,track_pop,song_name,release_date
0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,audio_features,0HPD5WQqrq7wPWR7P7Dw1i,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,199693,4,75,Kesha,dance_pop pop post-teen_pop,80,TiK ToK,2010-01-01
0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,audio_features,11EX5yhxr9Ihl3IN1asrfK,spotify:track:11EX5yhxr9Ihl3IN1asrfK,https://api.spotify.com/v1/tracks/11EX5yhxr9Ihl3IN1asrfK,https://api.spotify.com/v1/audio-analysis/11EX5yhxr9Ihl3IN1asrfK,277573,4,67,Lady A,contemporary_country country country_dawn country_pop country_road pop,70,Need You Now,2010-01-01
0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,audio_features,4HlFJV71xXKIGcU3kRyttv,spotify:track:4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,216773,4,71,Train,dance_pop neo_mellow pop pop_rock,81,"Hey, Soul Sister",2010-12-01
0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,audio_features,6tS3XVuOyu10897O3ae7bi,spotify:track:6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,234653,4,83,Katy Perry,dance_pop pop,75,California Gurls,2012-03-12
0.781,0.745,4,-5.81,0,0.0332,0.198,0.0000114,0.36,0.326,129.998,audio_features,1bM50INir8voAkVoKuvEUI,spotify:track:1bM50INir8voAkVoKuvEUI,https://api.spotify.com/v1/tracks/1bM50INir8voAkVoKuvEUI,https://api.spotify.com/v1/audio-analysis/1bM50INir8voAkVoKuvEUI,269493,4,78,Usher,atl_hip_hop contemporary_r&b dance_pop pop r&b south_carolina_hip_hop urban_contemporary,72,OMG (feat. will.i.am),2010-03-30
0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,audio_features,6lV2MSQmRIkycDScNtrBXO,spotify:track:6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/tracks/6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/audio-analysis/6lV2MSQmRIkycDScNtrBXO,180480,4,72,B.o.B,atl_hip_hop dance_pop hip_hop pop pop_rap rap southern_hip_hop,75,Airplanes (feat. Hayley Williams of Paramore),2010-04-27
0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,audio_features,15JINEqzVMv3SvJTAXAKED,spotify:track:15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/audio-analysis/15JINEqzVMv3SvJTAXAKED,263373,4,90,Eminem,detroit_hip_hop hip_hop rap,82,Love The Way You Lie,2010-06-18
0.696,0.921,0,-3.755,1,0.0363,0.00314,0.0000524,0.0842,0.714,119.001,audio_features,0SiywuOBRcynK0uKGWdCnn,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4,84,Lady Gaga,art_pop dance_pop pop,82,Bad Romance,2009-11-05
0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,audio_features,1DqdF42leyFIzqNDv9CjId,spotify:track:1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/tracks/1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,203867,4,68,Taio Cruz,dance_pop edm pop pop_rap,64,Dynamite,2010-01-01
0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,audio_features,1CdqVF1ywD0ZO1zXtB9yWa,spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,https://api.spotify.com/v1/tracks/1CdqVF1ywD0ZO1zXtB9yWa,https://api.spotify.com/v1/audio-analysis/1CdqVF1ywD0ZO1zXtB9yWa,186267,4,68,Taio Cruz,dance_pop edm pop pop_rap,60,Break Your Heart,2010-01-01
0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,audio_features,59dLtGBS26x7kc0rHbaPrq,spotify:track:59dLtGBS26x7kc0rHbaPrq,https://api.spotify.com/v1/tracks/59dLtGBS26x7kc0rHbaPrq,https://api.spotify.com/v1/audio-analysis/59dLtGBS26x7kc0rHbaPrq,268320,4,72,B.o.B,atl_hip_hop dance_pop hip_hop pop pop_rap rap southern_hip_hop,75,Nothin' on You (feat. Bruno Mars),2010-04-27
0.646,0.94,10,-2.856,0,0.0838,0.0209,0,0.0691,0.704,129.011,audio_features,4nVyHATevhl5RC6Qmoko5H,spotify:track:4nVyHATevhl5RC6Qmoko5H,https://api.spotify.com/v1/tracks/4nVyHATevhl5RC6Qmoko5H,https://api.spotify.com/v1/audio-analysis/4nVyHATevhl5RC6Qmoko5H,231787,4,75,Enrique Iglesias,latin_pop mexican_pop,65,I Like It,2010-01-01
0.738,0.695,8,-5.764,1,0.219,0.118,0,0.13,0.566,148.004,audio_features,68ehjcnIVcKjX0QtdBDgZP,spotify:track:68ehjcnIVcKjX0QtdBDgZP,https://api.spotify.com/v1/tracks/68ehjcnIVcKjX0QtdBDgZP,https://api.spotify.com/v1/audio-analysis/68ehjcnIVcKjX0QtdBDgZP,289253,4,62,Young Money,dance_pop dirty_south_rap gangster_rap hip_hop hip_pop pop_rap r&b rap southern_hip_hop trap,49,BedRock,2009-01-01
0.762,0.739,0,-4.178,0,0.0328,0.0269,0,0.498,0.852,110.002,audio_features,0TyOpxlWwDx98bjkIVHUgY,spotify:track:0TyOpxlWwDx98bjkIVHUgY,https://api.spotify.com/v1/tracks/0TyOpxlWwDx98bjkIVHUgY,https://api.spotify.com/v1/audio-analysis/0TyOpxlWwDx98bjkIVHUgY,198960,4,78,Jason Derulo,dance_pop edm pop pop_rap post-teen_pop,54,In My Head,2010-03-01
0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,audio_features,60jzFy6Nn4M0iD1d94oteF,spotify:track:60jzFy6Nn4M0iD1d94oteF,https://api.spotify.com/v1/tracks/60jzFy6Nn4M0iD1d94oteF,https://api.spotify.com/v1/audio-analysis/60jzFy6Nn4M0iD1d94oteF,222920,4,89,Rihanna,barbadian_pop dance_pop pop urban_contemporary,75,Rude Boy,2009-11-20
0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,audio_features,4TCL0qqKyqsMZml0G3M9IM,spotify:track:4TCL0qqKyqsMZml0G3M9IM,https://api.spotify.com/v1/tracks/4TCL0qqKyqsMZml0G3M9IM,https://api.spotify.com/v1/audio-analysis/4TCL0qqKyqsMZml0G3M9IM,220640,4,84,Lady Gaga,art_pop dance_pop pop,71,Telephone,2009-11-05
